#HIP (Name),Ra (Degrees),Dec (Degrees),Plx (milliarcsec),B (mag),V (mag),err_Plx,err_B,err_V
90656,277.46794575,-1.81763239,53.3,9.457,8.187,1.05,0.019,0.012
90657,277.47009502,9.19941516,13.97,8.419,7.932,0.97,0.009,0.009
90665,277.4880689,10.48288389,14.81,7.306,6.95,0.86,0.005,0.005
90729,277.67350531,20.81568735,27.92,7.475,6.571,0.67,0.004,0.003
90759,277.76229716,-41.91375727,12.76,6.21,6.038,0.78,0.004,0.004
90790,277.82935904,-18.90833868,75.71,7.902,6.899,0.89,0.012,0.007
90806,277.85958633,-18.40264541,15.3,5.145,5.128,0.81,0.003,0.003
90810,277.8707457,-1.63481332,15.49,7.627,7.244,0.92,0.01,0.009
90864,278.0433192,13.73626659,39.73,8.049,7.27,0.9,0.009,0.007
90869,278.05222376,-26.49619886,17.05,8.643,8.01,1.2,0.017,0.016
90884,278.08607249,-14.64421705,13.51,6.617,6.383,0.83,0.007,0.006
90887,278.08877815,-39.70390941,14.83,5.27,5.171,0.76,0.003,0.003
90936,278.25354464,-39.89182658,27.72,6.717,6.277,0.79,0.004,0.005
90943,278.26637525,-10.70329764,16.46,9.889,9.042,1.96,0.027,0.021
90959,278.32446321,22.31540247,42.67,10.416,9.016,1.26,0.03,0.016
90963,278.33425731,-37.32951577,15.14,9.179,8.459,1.22,0.016,0.014
90973,278.35352425,-29.86673576,18.33,10.436,9.588,1.86,0.039,0.03
90979,278.37084801,-11.6354613,39.34,11.39,10.056,1.76,0.1,0.054
90991,278.41251698,-14.85359142,15.42,5.793,5.746,0.78,0.005,0.005
91016,278.49805435,1.29064193,13.18,9.412,8.807,1.2,0.021,0.019
91043,278.5838136,18.69018708,26.87,8.146,7.465,0.89,0.009,0.008
91073,278.64850142,12.53888011,17.85,9.057,8.356,1.17,0.011,0.01
91075,278.65681891,-27.56620751,16.22,9.635,8.915,1.24,0.028,0.024
91085,278.68206009,-28.07204666,22.7,9.613,8.737,1.27,0.032,0.025
91089,278.69660163,-13.43475039,16.57,8.659,8.14,1.22,0.015,0.014
91117,278.80182442,-8.24330819,18.72,5.586,4.003,0.81,0.004,0.004
