#HIP (Name),Ra (Degrees),Dec (Degrees),Plx (milliarcsec),B (mag),V (mag),err_Plx,err_B,err_V
28734,91.0300689,23.26363207,21.64,5.221,4.266,1.06,0.003,0.003
28764,91.11878029,-45.03720225,37.46,6.965,6.398,0.5,0.005,0.005
28767,91.12444026,44.26081415,30,7.416,6.801,0.82,0.006,0.005
28790,91.16736258,-45.07954967,37.01,6.473,5.942,0.58,0.004,0.003
28796,91.19488806,-48.45824742,33.64,7.456,6.671,0.84,0.011,0.009
28813,91.24243225,14.3888923,24.56,7.321,6.776,0.85,0.006,0.006
28823,91.26425064,42.9819855,19.38,6.3,5.933,0.8,0.004,0.004
28854,91.36258158,-10.24265912,16.96,6.303,5.92,0.86,0.004,0.003
28869,91.4253352,-61.74860707,20.51,8.551,7.902,0.68,0.011,0.01
28884,91.48013722,26.55574982,23.97,10.611,9.549,1.45,0.043,0.028
28898,91.51568173,-59.54137568,36.53,9.549,8.518,0.74,0.019,0.014
28902,91.52469347,69.47626911,31.3,9.264,8.366,0.97,0.01,0.007
28905,91.53100039,67.64075778,27,9.278,8.396,1.11,0.014,0.011
28908,91.53593305,35.38845807,37.9,6.843,6.191,0.83,0.006,0.004
28910,91.53889172,-14.93528629,19.14,4.727,4.674,0.7,0.002,0.002
28913,91.54807438,-45.81583693,18.22,7.907,7.31,0.58,0.007,0.007
28921,91.56927375,-27.90591232,31.38,10.099,9.092,1.16,0.023,0.015
28935,91.60285003,63.83590894,32.95,9.466,8.487,1.06,0.014,0.011
28941,91.62437646,-72.51172832,22.11,10.246,9.181,0.81,0.029,0.019
28954,91.66896343,15.54235694,64.71,7.798,6.852,0.91,0.01,0.006
28963,91.68185642,72.60313266,13.19,7.857,7.441,0.81,0.006,0.006
28964,91.68230619,-62.68303897,36.33,10.884,9.535,0.87,0.045,0.024
28985,91.74400175,-6.20263698,14.48,6.853,6.614,0.9,0.005,0.007
28987,91.74937384,-46.2055747,21.38,7.361,6.882,0.55,0.005,0.005
29001,91.78822383,16.556297,27.97,7.958,7.406,1.05,0.01,0.009
29003,91.79155788,37.16439586,13.77,9.414,8.675,1.43,0.016,0.013
29063,91.96781348,8.22027251,28.92,10.106,9.062,1.31,0.031,0.021
29067,91.98052613,67.97709065,40.12,11.391,9.89,1.78,0.06,0.025
29074,91.99602995,27.42845793,22.46,8.803,8.091,1.12,0.013,0.011
29079,92.01685006,39.2096528,14.4,9.182,8.589,1.61,0.017,0.016
29080,92.0181544,50.5832827,12.99,8.829,8.364,1.15,0.012,0.012
29083,92.02683035,-15.90115596,21.83,7.479,6.996,0.88,0.004,0.004
29093,92.05307968,-50.99340627,12.75,9.471,8.875,0.82,0.018,0.016
29113,92.08959887,50.7544506,17.32,9.5,8.824,1.25,0.02,0.017
29116,92.10306574,31.20305571,16.19,8.915,8.348,1.29,0.014,0.013
29118,92.10577945,-11.14625666,13.02,7.056,6.879,1.28,0.004,0.006
