#HIP (Name),Ra (Degrees),Dec (Degrees),Plx (milliarcsec),B (mag),V (mag),err_Plx,err_B,err_V
3410,10.85287972,-0.89412919,14.57,10.072,9.34,1.33,0.033,0.028
3414,10.8670447,47.02463657,18.71,5.169,4.976,0.73,0.003,0.002
3418,10.88750898,33.8454328,48.16,10.111,8.859,1.04,0.029,0.017
3419,10.89678452,-17.9866841,34.04,3.362,2.159,0.82,0.004,0.004
3423,10.90417006,-24.72935674,14.15,10.546,9.729,1.66,0.036,0.029
3434,10.95296967,-37.47278427,13.46,8.191,7.686,1.61,0.01,0.008
3436,10.9587023,-12.01130744,18.76,7.432,6.124,0.92,0.007,0.005
3438,10.96776657,33.31068398,12.96,7.275,6.938,0.86,0.007,0.007
3443,10.99558074,-24.87244013,12.92,9.295,8.626,1.23,0.016,0.014
3455,11.04752272,-10.60927365,15.54,6.066,4.882,0.82,0.004,0.003
3466,11.0822797,7.77090105,13.2,9.257,8.665,1.14,0.018,0.017
3470,11.08845455,-85.89152517,15.37,8.947,8.351,0.66,0.012,0.011
3479,11.11019153,-26.51604473,30.58,8.629,7.868,1.08,0.011,0.009
3483,11.11516413,-13.41574666,13.76,8.139,7.622,1.03,0.009,0.007
3493,11.15409524,-18.94716716,29.58,12.208,10.879,2.21,0.168,0.074
3497,11.16268466,-65.64771794,45.76,7.347,6.624,0.56,0.006,0.004
3502,11.17135034,20.44922868,12.85,9.615,8.753,1.27,0.023,0.017
3505,11.18515547,-22.00633247,35.92,5.62,5.262,0.69,0.003,0.003
3509,11.19905823,67.15832122,21.8,7.468,6.944,0.62,0.006,0.006
3512,11.2078201,56.41491061,16.65,10.408,9.444,1.29,0.021,0.015
3521,11.23801546,-42.67632489,15.01,6.279,5.968,0.71,0.003,0.003
3527,11.24883557,-53.71490037,22.09,6.791,6.209,0.65,0.004,0.003
3531,11.25627971,-7.89488136,18.75,12.222,11.434,2.3,0.254,0.193
3533,11.26559075,75.93802855,26.87,8.148,7.268,0.63,0.008,0.007
3535,11.2705124,1.78691411,45.43,9.312,8.128,0.95,0.017,0.011
3540,11.29502236,0.25340728,24.27,7.64,7.065,0.88,0.006,0.005
3551,11.3403045,16.98439472,20.12,11.004,10.005,1.64,0.063,0.043
3553,11.36099989,-46.54893717,13.63,9.998,9.319,1.26,0.015,0.013
3559,11.36961318,-12.88030968,31.39,6.906,6.22,1.03,0.005,0.005
3571,11.40727587,26.06675118,27.96,12.184,11.16,2.08,0.27,0.171
3578,11.42468671,-48.30116131,25.89,8.717,7.942,1.06,0.007,0.006
3579,11.42912919,-67.87477429,19.99,10.942,9.859,1.06,0.051,0.031
3583,11.43930832,-47.55217573,66.92,6.572,5.867,0.73,0.002,0.002
3587,11.44840072,66.49284151,23.1,8.186,7.603,0.78,0.008,0.007
3588,11.45019784,-41.90900883,62.41,9.41,7.971,1.6,0.025,0.013
3589,11.46162953,54.97801339,20.56,8.212,7.667,1.69,0.014,0.014
3597,11.5132021,40.80905639,16.37,8.156,7.618,0.97,0.008,0.009
3603,11.53225819,-44.10366036,15.8,9.448,8.725,1.16,0.015,0.013
3617,11.60149417,30.94279923,14.1,8.368,7.256,0.9,0.011,0.008
3629,11.62976403,-28.5536536,14.22,9.927,9.226,1.27,0.026,0.021
3633,11.64135157,14.32558918,21.51,10.951,10.014,1.44,0.066,0.044
3641,11.65929285,69.32537127,24.65,6.88,6.445,0.59,0.003,0.004
3643,11.66149212,-36.03341734,17.2,9.296,8.683,0.99,0.015,0.013
3645,11.6688228,-4.42640522,35.74,8.595,7.653,2.71,0.013,0.01
3693,11.83495908,24.26737703,17.98,5.51,4.216,0.83,0.004,0.004
3704,11.87869685,-36.93934176,19.99,8.489,7.906,0.94,0.01,0.01
3716,11.92492045,-82.507495,13.96,10.145,9.39,1.38,0.024,0.02
3730,11.97803517,20.92531069,17.41,7.123,6.573,0.87,0.007,0.007
3745,12.01491791,-25.07904214,16.87,9.882,8.974,1.39,0.023,0.017
3747,12.02551587,-54.20089964,16.7,12.533,10.807,1.74,0.239,0.072
3750,12.03698124,72.67445774,14.65,7.148,5.97,1.35,0.005,0.003
3765,12.09388786,5.28338873,134.04,6.875,5.845,0.86,0.006,0.003
